Device ID	Device Name	Device Platform
d80573e98ac0ef21fc4cf0523ed33c54ca96f526	iPhone	ios
3395c3bf019e3f7256a6552c6d4d47ac62c7668a	iPhone	ios
eccce232eb187fad1d2e421138cad020672393a1	iPhone	ios
00008030-001844540E47802E	iPhone	ios
dd304dbcd419ad8f73cc4d16e4156be345dd3c69	iPhone	ios
170b84e60c197f3a723256c848ee4047f5ff6450	iPad	ios
9ce23f919c46440ea075b49a9647779d32acf0e6	iPhone	ios
61c4f1e70a7893acf4ef8a88a7e7d6df9c74a5ea	iPhone	ios
00008020-000B445414A3002E	iPhone	ios
00008030-001131802289802E	iPhone	ios
c00a312321bfdea974c680315b973cfb4589f801	iPhone	ios
00008020-0012783C3C29002E	iPhone	ios
1278fc21321de72132522a589344519500361cd0	iPhone	ios
